id,dive_start,dive_end,max_depth
huey,2017-03-08T23:17:56Z,2017-03-08T23:19:36Z,15.4
huey,2017-03-08T23:20:12Z,2017-03-08T23:21:12Z,15.2
huey,2017-03-08T23:22:44Z,2017-03-08T23:24:52Z,15.8
huey,2017-03-08T23:26:24Z,2017-03-08T23:31:48Z,16.5
huey,2017-03-08T23:32:40Z,2017-03-08T23:37:52Z,16.7
huey,2017-03-08T23:39:16Z,2017-03-08T23:44:56Z,17.5
huey,2017-03-08T23:45:56Z,2017-03-08T23:52:36Z,18.4
huey,2017-03-08T23:53:44Z,2017-03-08T23:56:52Z,18.7
huey,2017-03-08T23:59:16Z,2017-03-09T00:04:48Z,19.4
huey,2017-03-09T00:05:48Z,2017-03-09T00:09:00Z,19.8
huey,2017-03-09T00:11:32Z,2017-03-09T00:14:16Z,20.2
huey,2017-03-09T00:16:00Z,2017-03-09T00:21:48Z,20.7
huey,2017-03-09T00:22:52Z,2017-03-09T00:24:04Z,20.7
huey,2017-03-09T00:25:28Z,2017-03-09T00:27:32Z,20.8
huey,2017-03-09T00:29:28Z,2017-03-09T00:34:48Z,20.9
huey,2017-03-09T00:35:56Z,2017-03-09T00:39:20Z,20.8
huey,2017-03-09T00:41:16Z,2017-03-09T00:46:04Z,20.3
huey,2017-03-09T00:47:08Z,2017-03-09T00:50:20Z,20.1
huey,2017-03-09T00:51:08Z,2017-03-09T00:56:04Z,20.6
huey,2017-03-09T00:57:12Z,2017-03-09T01:00:24Z,21
huey,2017-03-09T01:02:20Z,2017-03-09T01:06:52Z,21.5
huey,2017-03-09T01:08:00Z,2017-03-09T01:13:48Z,21.8
huey,2017-03-09T01:14:52Z,2017-03-09T01:20:08Z,21.3
huey,2017-03-09T01:21:04Z,2017-03-09T01:26:20Z,20.8
huey,2017-03-09T01:27:20Z,2017-03-09T01:33:08Z,20.8
huey,2017-03-09T01:34:16Z,2017-03-09T01:39:32Z,20.4
huey,2017-03-09T01:40:28Z,2017-03-09T01:41:52Z,19.7
huey,2017-03-09T01:44:36Z,2017-03-09T01:49:08Z,19.4
huey,2017-03-09T01:50:16Z,2017-03-09T01:52:36Z,19
huey,2017-03-09T01:53:52Z,2017-03-09T01:54:08Z,4.2
huey,2017-03-09T01:55:04Z,2017-03-09T01:59:08Z,18.7
huey,2017-03-09T02:00:04Z,2017-03-09T02:04:04Z,18.2
huey,2017-03-09T02:05:44Z,2017-03-09T02:10:52Z,17.6
huey,2017-03-09T02:11:56Z,2017-03-09T02:17:24Z,16.9
huey,2017-03-09T02:18:20Z,2017-03-09T02:23:44Z,15.8
huey,2017-03-09T02:24:40Z,2017-03-09T02:29:44Z,14.8
huey,2017-03-09T02:30:36Z,2017-03-09T02:35:32Z,14.1
huey,2017-03-09T02:36:20Z,2017-03-09T02:38:20Z,13.6
huey,2017-03-09T02:39:32Z,2017-03-09T02:39:52Z,4.3
huey,2017-03-09T02:39:56Z,2017-03-09T02:40:08Z,1.6
huey,2017-03-09T02:41:20Z,2017-03-09T02:41:36Z,1.8
huey,2017-03-09T02:42:16Z,2017-03-09T02:46:08Z,13.4
huey,2017-03-09T02:47:00Z,2017-03-09T02:49:16Z,13.1
huey,2017-03-09T02:49:32Z,2017-03-09T02:50:04Z,2
huey,2017-03-09T02:50:44Z,2017-03-09T02:55:00Z,13
huey,2017-03-09T02:55:48Z,2017-03-09T03:00:28Z,12.4
huey,2017-03-09T03:01:16Z,2017-03-09T03:06:04Z,11.4
huey,2017-03-09T03:06:52Z,2017-03-09T03:11:04Z,10.1
huey,2017-03-09T03:11:52Z,2017-03-09T03:15:32Z,8.9
huey,2017-03-09T03:16:16Z,2017-03-09T03:20:00Z,7.9
huey,2017-03-09T03:20:48Z,2017-03-09T03:24:20Z,6.6
huey,2017-03-09T03:25:04Z,2017-03-09T03:25:44Z,2.5
huey,2017-03-09T03:25:48Z,2017-03-09T03:26:56Z,1.9
huey,2017-03-09T03:27:32Z,2017-03-09T03:27:56Z,1.7
huey,2017-03-09T03:36:28Z,2017-03-09T03:38:32Z,2
huey,2017-03-09T03:39:20Z,2017-03-09T03:41:40Z,3
huey,2017-03-09T03:42:28Z,2017-03-09T03:44:48Z,4.2
huey,2017-03-09T03:45:28Z,2017-03-09T03:48:24Z,5.7
huey,2017-03-09T03:49:16Z,2017-03-09T03:49:44Z,1.9
huey,2017-03-09T03:49:48Z,2017-03-09T03:50:12Z,1.7
huey,2017-03-09T03:50:44Z,2017-03-09T03:51:16Z,1.7
huey,2017-03-09T03:52:16Z,2017-03-09T03:53:20Z,2.5
huey,2017-03-09T03:58:08Z,2017-03-09T03:58:28Z,1.5
huey,2017-03-09T03:58:44Z,2017-03-09T04:00:04Z,2.8
huey,2017-03-09T04:00:52Z,2017-03-09T04:02:12Z,3
huey,2017-03-09T04:02:24Z,2017-03-09T04:02:44Z,1.8
huey,2017-03-09T04:03:36Z,2017-03-09T04:04:12Z,2.1
huey,2017-03-09T04:05:00Z,2017-03-09T04:05:36Z,1.6
huey,2017-03-09T04:06:56Z,2017-03-09T04:08:48Z,2.3
huey,2017-03-09T04:08:52Z,2017-03-09T04:09:08Z,1.6
huey,2017-03-09T04:10:00Z,2017-03-09T04:12:00Z,2.9
huey,2017-03-09T04:12:20Z,2017-03-09T04:12:44Z,3
huey,2017-03-09T06:11:36Z,2017-03-09T06:12:00Z,1.9
huey,2017-03-09T06:14:04Z,2017-03-09T06:15:00Z,2.3
huey,2017-03-09T06:49:16Z,2017-03-09T06:49:40Z,1.6
huey,2017-03-09T06:50:08Z,2017-03-09T06:50:20Z,1.6
huey,2017-03-09T06:50:32Z,2017-03-09T06:50:48Z,1.6
huey,2017-03-09T06:51:16Z,2017-03-09T06:51:28Z,1.5
huey,2017-03-09T06:53:04Z,2017-03-09T06:53:36Z,1.6
huey,2017-03-09T06:53:48Z,2017-03-09T06:57:04Z,1.6
huey,2017-03-09T06:58:16Z,2017-03-09T07:02:36Z,1.6
huey,2017-03-09T07:03:40Z,2017-03-09T07:07:08Z,1.8
huey,2017-03-09T07:08:08Z,2017-03-09T07:11:08Z,1.8
huey,2017-03-09T07:12:24Z,2017-03-09T07:15:48Z,1.8
huey,2017-03-09T09:11:32Z,2017-03-09T09:16:32Z,1.6
huey,2017-03-09T09:17:40Z,2017-03-09T09:23:04Z,1.9
huey,2017-03-09T09:24:12Z,2017-03-09T09:27:56Z,2
huey,2017-03-09T09:28:56Z,2017-03-09T09:31:52Z,2
huey,2017-03-09T09:32:48Z,2017-03-09T09:35:04Z,4.7
huey,2017-03-09T09:36:04Z,2017-03-09T09:38:00Z,5
huey,2017-03-09T09:38:44Z,2017-03-09T09:41:00Z,3.4
huey,2017-03-09T09:41:52Z,2017-03-09T09:43:36Z,2.6
huey,2017-03-09T09:44:08Z,2017-03-09T09:48:16Z,4.2
huey,2017-03-09T09:49:24Z,2017-03-09T09:53:52Z,3.5
huey,2017-03-09T09:54:36Z,2017-03-09T09:54:52Z,2.6
huey,2017-03-09T10:02:56Z,2017-03-09T10:03:16Z,1.8
huey,2017-03-09T10:03:52Z,2017-03-09T10:07:12Z,2
huey,2017-03-09T10:08:20Z,2017-03-09T10:10:04Z,1.9
huey,2017-03-09T10:10:08Z,2017-03-09T10:11:52Z,1.8
huey,2017-03-09T10:13:04Z,2017-03-09T10:17:36Z,2
huey,2017-03-09T10:18:40Z,2017-03-09T10:19:20Z,2
huey,2017-03-09T10:20:08Z,2017-03-09T10:22:00Z,2
huey,2017-03-09T10:23:08Z,2017-03-09T10:28:16Z,2.3
huey,2017-03-09T10:29:24Z,2017-03-09T10:30:28Z,2.1
huey,2017-03-09T10:30:40Z,2017-03-09T10:32:08Z,2
huey,2017-03-09T10:32:20Z,2017-03-09T10:33:16Z,2.6
huey,2017-03-09T10:34:16Z,2017-03-09T10:34:40Z,2.2
huey,2017-03-09T10:35:28Z,2017-03-09T10:39:44Z,3.1
huey,2017-03-09T10:40:52Z,2017-03-09T10:45:44Z,3.2
huey,2017-03-09T10:46:44Z,2017-03-09T10:52:56Z,3.2
huey,2017-03-09T10:54:00Z,2017-03-09T11:00:00Z,3.3
huey,2017-03-09T11:01:00Z,2017-03-09T11:07:24Z,3
huey,2017-03-09T11:08:20Z,2017-03-09T11:13:44Z,3
huey,2017-03-09T11:14:40Z,2017-03-09T11:20:28Z,3
huey,2017-03-09T11:21:28Z,2017-03-09T11:27:48Z,3
huey,2017-03-09T11:28:40Z,2017-03-09T11:32:48Z,2.9
huey,2017-03-09T11:33:52Z,2017-03-09T11:39:24Z,3
huey,2017-03-09T11:40:24Z,2017-03-09T11:45:48Z,3
huey,2017-03-09T11:46:56Z,2017-03-09T11:52:20Z,2.9
huey,2017-03-09T11:53:16Z,2017-03-09T11:59:32Z,2.9
huey,2017-03-09T12:00:36Z,2017-03-09T12:06:32Z,2.7
huey,2017-03-09T12:07:36Z,2017-03-09T12:14:24Z,2.6
huey,2017-03-09T12:15:24Z,2017-03-09T12:22:12Z,2.5
huey,2017-03-09T12:23:12Z,2017-03-09T12:30:20Z,2.3
